Variable	PC1	PC2
Coleman_Liau_Index	0.276585554335913	0.791639945523118
LIX_Score	0.370357880065109	-0.267176985268294
Gunning_Fog_Index	0.370362147510073	-0.267155041072319
RIX_Score	0.362597311291606	-0.252601279543586
Flesch_Reading_Ease	-0.357491558028923	-0.250597324015483
SMOG_Index	0.359937471781354	-0.233153857159013
Automated_Readability_Index	0.351210187540641	0.220121472117022
Flesch_Kincaid_Grade	0.370117208267282	-0.0336188994299485
