PC	Eigenvalue	Variance_Explained	Cumulative_Variance
PC1	6.81805841642173	85.2257302052713	85.2257302052713
PC2	0.717373689358991	8.96717111698736	94.1929013222587
PC3	0.279298357332946	3.49122946666182	97.6841307889205
PC4	0.112602593325318	1.40753241656647	99.091663205487
PC5	0.0385648669290485	0.482060836613105	99.5737240421001
PC6	0.0311334393232742	0.389167991540926	99.962892033641
PC7	0.00296789508380214	0.0370986885475267	99.9999907221885
PC8	7.42224915208645e-07	9.27781144010803e-06	100
